codigo,titulo,autor,descricao,preco,link_livro,link_pdf,link_epub,tem_versao_imprimivel
wiias,¿Qué si todo sea verdad?,Horatio Bonar,"John Newton desperdició años de su vida en el pecado y la miseria, pero el evangelio del perdón de Dios y la vida eterna a través de Jesucristo trajo paz y transformación total al ""blasfemo africano"". ¿Y si todo es verdad? ¿Dónde estás en relación con Dios? ¿Tienes una paz que resistirá la prueba de la muerte, el Día del Juicio y la eternidad que sigue? La única respuesta que se mantendrá firme a través de todo se encuentra en la fe sencilla en el evangelio del gran Salvador Jesucristo.",0.14,https://www.chapellibrary.org/book/wiias/,https://www.chapellibrary.org/api/books/download?code=wiias&format=pdf,,SIM
aodes,¿Vivo o muerto?,J. C. Ryle,"¿Vivo o muerto?
 por J. C. Ryle, postula la pregunta que ha enfrentado cada ser humano que jamás ha vivido: ¿Te encuentras tú entre los vivos o  los muertos? En su estilo directo y llamativo, el autor desafía al lector a considerar su propia condición antes de “cerrar este librito”. Los temas que trata son: 1. Todos están espiritualmente muertos, 2. Todos necesitan que Dios les dé vida, 3. Cómo cobra vida un alma muerta y 4. ¿Estás vivo?
Narración: Ernesto Rodriguez",0.69,https://www.chapellibrary.org/book/aodes/,https://www.chapellibrary.org/api/books/download?code=aodes&format=pdf,https://www.chapellibrary.org/api/books/download?code=aodes&format=epub,SIM
ajuds,Ana Judson: Una vida de abnegación,Autor Desconhecido,"Ana Judson
 (1789-1826) fue junto a su esposo una de los primeros misioneros foraneos en salir de los Estados Unidos. Su legado avivo el fuego de las misiones en los Estados Unidos y fue de inspiracion a miles que le siguieron en distintos campos misioneros alrededro del mundo.
Ana Judson puede decir junto con el apostol Pedro  ""He aquí, nosotros lo hemos dejado todo, y te hemos seguido."" (Marcos 10:28). Abandono su tierra, familia y amistades para irse como misionera junto a su esposo a un pais pagano con todas las dficultades que esto implica ¨Por la amada causa de Cristo, y la esperanza de algun dia ser instrumento para llevar a algunas mujeres degradadas y desdichadas a aceptarlo como su salvador¨. En su vida y escritos podemos apreciar ¨una profunda consagración y dedicación a Cristo. Su percepción de su propio pecado, su profunda convicción de la soberanía y providencia de Dios, su comprensión de la necesidad de una religión centrada en Dios y no una centrada en el hombre, su total dependencia de la Palabra de Dios, y su fe que venció cada desaliento… estas son las características de Ana Judson.¨",0.61,https://www.chapellibrary.org/book/ajuds/,https://www.chapellibrary.org/api/books/download?code=ajuds&format=pdf,https://www.chapellibrary.org/api/books/download?code=ajuds&format=epub,SIM
beads,Ancianos y diáconos  bíblicos,Nehemiah Coxe,"La voluntad de Cristo como la revelan las Escrituras es la norma para la conducción de la iglesia, y Nehemiah Coxe expone aspectos de esa norma que se relacionan con los líderes de la iglesia. “La edificación y la belleza de la iglesia depende mucho de su orden, no un orden dictado por supersticiones ni por discusiones menudencias, sino por lo que ya hemos descrito, que la ubica en conformidad con la voluntad de Cristo y especialmente en llenar los cargos que el Señor ha mandado, con personas calificadas para su administración y su función regular tanto de los oficiales como de los miembros en sus respectivas posiciones”.",1.10,https://www.chapellibrary.org/book/beads/,https://www.chapellibrary.org/api/books/download?code=beads&format=pdf,https://www.chapellibrary.org/api/books/download?code=beads&format=epub,SIM
adais,Andrés Dunn,Thomas Kelly,"Después de 40 años sumido en la ignorancia católica romana, Andrés Dunn consigue acceso a un Nuevo Testamento. Al leer las paginas de este libro Dios le abrió los ojos y entonces pudo ver las falsas doctrinas y practicas que la Iglesia Católica Romana  le había inculcado. No solo esto, sino que Dios le otorgó salvación para su alma a través de la lectura y meditación en este poderoso texto que es la Palabra de Dios ¨Viva y eficaz¨.",0.95,https://www.chapellibrary.org/book/adais/,https://www.chapellibrary.org/api/books/download?code=adais&format=pdf,https://www.chapellibrary.org/api/books/download?code=adais&format=epub,SIM
repefgs,Arrepentimiento,Autor Desconhecido,¿Qué dice la Biblia acerca del arrepentimiento? ¿Es necesario para la salvación? ¿De dónde viene el arrepentimiento? Estas y muchas más preguntas se responden en esta edición de Free Grace Broadcaster. Ármate con sabiduría para poder examinarte en busca de frutos del arrepentimiento.,1.78,https://www.chapellibrary.org/book/repefgs/,https://www.chapellibrary.org/api/books/download?code=repefgs&format=pdf,https://www.chapellibrary.org/api/books/download?code=repefgs&format=epub,SIM
brnos,Arrepentimiento bíblico,"Lee Roy Shelton, Jr.","""¿Por qué es el arrepentimiento bíblico la necesidad de esta hora? Porque vivimos en una época en que la mayoría de los líderes religiosos realmente niegan la necesidad de arrepentimiento"". Por lo tanto, el pastor Shelton explica en este folleto la naturaleza y la necesidad del verdadero arrepentimiento. Presenta el problema subyacente del pecado del hombre que hace que el arrepentimiento sea necesario, define qué es el arrepentimiento y explica cómo está conectado con la fe. En tercer lugar, nos lleva a los medios del arrepentimiento, que es la Palabra de Dios. Por último, nos muestra los frutos del arrepentimiento genuino en un odio por el pecado y un deseo de santidad.",0.95,https://www.chapellibrary.org/book/brnos/,https://www.chapellibrary.org/api/books/download?code=brnos&format=pdf,https://www.chapellibrary.org/api/books/download?code=brnos&format=epub,SIM
ropes,Arrepiéntete o perecerás,Arthur W. Pink,"""Antes si no os arrepentís, todos pereceréis igualmente."" (Lucas 13: 3). Lamentablemente, esta verdad bíblica rara vez se escucha en nuestras iglesias modernas. Pero como señala AW Pink, ""el arrepentimiento es 
 
 absolutamente necesario 
 
 si el pecador debe hacer las paces con Dios"". Continúa describiendo el arrepentimiento como ""Un odio santo y el horror del pecado, un profundo dolor por él y su reconocimiento ante Dios, y un 
 
 corazón completo para abandonarlo 
 
 "". Pink termina este breve tramo con una declaración escalofriante y una pregunta, “Cambia de tu curso de voluntad propia; Gire con todo el propósito del corazón para complacerlo y servirle: o ser atormentado día y noche, por los siglos de los siglos, en el Lago de Fuego. ¿Cuál será? ”",0.06,https://www.chapellibrary.org/book/ropes/,https://www.chapellibrary.org/api/books/download?code=ropes&format=pdf,,SIM
ytirs,Aún hay lugar,Carlos Spurgeon,"En este breve folleto, Charles Spurgeon explica que todavía hay mucho espacio para que los pecadores vengan a Cristo. Luego hace tres preguntas: ¿Dónde hay lugar? ¿Cuando hay lugar? y ¿Por qué hay lugar? Respondiendo al primero, muestra que aún hay lugar en la fuente inagotable de perdón que es la sangre de Cristo, en la familia del Padre, en la iglesia y en el cielo. Respecto a cuando hay lugar, su respuesta es simple: ahora mismo hay lugar. Finalmente, en cuanto a por qué h
ay lugar, ofrece otra lista de razones entre las cuales se incluye la latitud “vasta y amplia” del decreto de elección de Dios y el valor infinito del sacrificio de Cristo. Spurgeon termina con una petición de oración: “¡Que Dios le conceda a muchos que vengan a Jesús en este mismo momento, por el bien de su querido nombre! Amén” .",0.52,https://www.chapellibrary.org/book/ytirs/,https://www.chapellibrary.org/api/books/download?code=ytirs&format=pdf,https://www.chapellibrary.org/api/books/download?code=ytirs&format=epub,SIM
babifgs,Bebés,Autor Desconhecido,"Esta edición de Portavoz de la Gracia se trata de bebés. Juan Calvino presenta este tema vital explicando la majestuosidad creada de hombres y mujeres, y destaca con cuidado que Dios diseñó nuestros cuerpos para engendrar y tener hijos. Martín Lutero nos recuerda que Dios mandó a hombres y mujeres que dieran fruto y se multiplicaran. El puritano Thomas Manton declara con aplomo que los hijos son herencia y recompensa del Señor. Una vez que Dios nos bendice con hijos, ¿qué hacemos con ellos? Para responder a esta pregunta J. R. Miller presenta un resumen maravilloso de cómo amar y cuidar a nuestros bebés. ¿Qué quiso decir Pablo cuando escribió que la mujer “se salvará engendrando hijos”? Stephen Charnock, otro predicador y teólogo puritano, nos da una buena respuesta a esta pregunta difícil. Richard Adams, también predicador puritano, nos ofrece una perspectiva general de las cuatro gracias necesarias para tener hijos y nos ofrece un segundo artículo acerca de la mejor manera de animar y apoyar a la mujer embarazada. A. W. Pink explica la gran fe de Sara de que concebiría en su vejez. El puritano Thomas Jacombe ofrece consuelo a aquellos que no pueden tener hijos. Y, por último, Thomas Boston enfoca el tema del bebé más importante de todos los tiempos.",1.78,https://www.chapellibrary.org/book/babifgs/,https://www.chapellibrary.org/api/books/download?code=babifgs&format=pdf,https://www.chapellibrary.org/api/books/download?code=babifgs&format=epub,SIM
baigs,Belén y las buenas nuevas,Horatio Bonar,"“Belén no tenía nada de grandioso. Era pequeña para ser en los millares de Judá (Mi. 5:2); quizá apenas una aldea de pastores o un pueblo cuya vida giraba alrededor del mercado; no obstante, allí el gran propósito de Dios se convirtió en un hecho. El Verbo fue hecho carne”.
Así comienza este tratado de Horatius Bonar sobre la encarnación. Aquí vemos la gloria de Dios haciéndose hombre y el amor que Dios mostró al enviar a Su Hijo a vivir y morir en humildad. En Belén podemos aprender sobre el camino a Dios, la vanidad de la tierra, una vida de santidad, un corazón de humildad y negación propia.",0.17,https://www.chapellibrary.org/book/baigs/,https://www.chapellibrary.org/api/books/download?code=baigs&format=pdf,,SIM
gworfgs,Buenas obras,Autor Desconhecido,"Presentamos esta edición de 
Portavoz de la Gracia
 enfocando el tema de las Buenas Obras. Charles Spurgeon nos presenta el primer artículo preguntando si es posible que un pecador tenga obras. Seguidamente, David Martyn Lloyd-Jones nos muestra lo que dicen las Escrituras acerca de la relación entre la gracia de Dios, nuestras obras y la salvación en Cristo Jesús. Arthur Pink nos pregunta si estamos obteniendo provecho de nuestro estudio de las Escrituras o no, describiendo el lugar, la necesidad, la naturaleza y el alcance de las buenas obras. Horatius Bonar  muestra que la justificación únicamente por gracia a través de únicamente la fe en Cristo Jesús no produce un vivir superficial, mundano o indiferente, sino que es la motivación para un vivir santo evidenciado por las buenas obras. Luego aprendemos de Ebenezer Erskine cómo la fe en Cristo influencia y produce buenas obras. El puritano Thomas Manton es un poco más difícil de leer que algunos de nuestros otros autores, pero la lectura cuidadosa y devota de este artículo sobre ser celoso de buenas obras beneficiará ricamente al lector. Erskine nos ofrece un artículo más en el que declara con intrepidez la necesidad de mantenernos constantes en hacer buenas obras y lo que esto significa. Por último, concluimos este tema con dos artículos por Juan Bunyan. Primero, nos da la mejor manera de motivar las buenas obras entre los creyentes y concluye este número de 
Portavoz de la Gracia
 enfocando las obras del creyente en el Día del Juicio.",1.78,https://www.chapellibrary.org/book/gworfgs/,https://www.chapellibrary.org/api/books/download?code=gworfgs&format=pdf,https://www.chapellibrary.org/api/books/download?code=gworfgs&format=epub,SIM
scats,Catecismo de Spurgeon,Carlos Spurgeon,"Spurgeon editó el Catecismo Bautista para su propia congregación en 1855, cuando tenía 21 años. En el 14 de octubre de 1855, Charles Spurgeon predicó sermón N º 46 a varios miles que se reunieron para escucharlo en Capilla New Park Street. La publicación sermón contenía un anuncio de este Catecismo. El texto que mañana era: ""Señor, tú has sido nuestro refugio de generación en generación"" (Sal 90, 1).
 ""Estoy convencido de que el uso de un buen catecismo en todas nuestras familias será una gran salvaguardia contra las crecientes errores de los tiempos, y por lo tanto he compilado este pequeño manual de Catecismos de la Asamblea Westminster y Catecismos Bautistas, para el uso de mi propia iglesia y congregación. Aquellos que lo utilizan en sus familias o en leciones deben de esfuerzarse  para explicar el sentido; pero las palabras deben ser aprendidas cuidadosamente de corazón, porque ellas serán comprendidas mejor como años pase. Que el Señor bendiga mis queridos amigos y sus familias cada vez más ... ""-C. H. Spurgeon",0.52,https://www.chapellibrary.org/book/scats/,https://www.chapellibrary.org/api/books/download?code=scats&format=pdf,https://www.chapellibrary.org/api/books/download?code=scats&format=epub,SIM
cctds,Charlie Coulson: El muchachito que tocaba el tambor,Max L.  Rossvally,"M. L. Rossvally, un respetado cirujano militar en la Guerra Civil se encuentra con un testimonio vivo del poder salvador del Señor Jesucristo en un ""tamborilero"" en su lecho de muerte. Rossvally es un judío, y siente repulsión de ""Jesús el impostor"". ¡Lee el recuento verdadero de Rossvally de cómo el Mesías rompió sus prejuicios y lo transformó por Su gracia!",0.87,https://www.chapellibrary.org/book/cctds/,https://www.chapellibrary.org/api/books/download?code=cctds&format=pdf,https://www.chapellibrary.org/api/books/download?code=cctds&format=epub,SIM
htbfs,Como estar libre de la amargura,Jim Wilson,"Cómo Estar Libre de la Amargura
 ayuda al lector a romper las cadenas de uno de los se
ñores 
más terribles: el pecado de la amargura. A través de este folleto, se expone qué es la amargura, su causa y cómo resolverla. La raíz de la amargura en la vida de una persona solo puede ser extraída por el poder de la gracia de Dios en el evangelio, enfrentando honestamente su pecado y acercándose a Dios para llenar su corazón con el agua dulce de su amor.",0.52,https://www.chapellibrary.org/book/htbfs/,https://www.chapellibrary.org/api/books/download?code=htbfs&format=pdf,https://www.chapellibrary.org/api/books/download?code=htbfs&format=epub,SIM
hmcts,Como vienen los hombres a Cristo,Carlos Spurgeon,"En este tratado, Charles Spurgeon explica la verdad que Cristo declara en Juan 6:44: ningún hombre puede venir a Cristo a menos que el Padre lo atraiga. Primero, refuta un punto de vista arminiano común que sugiere que Dios usa la predicación solo para atraer a los hombres a Cristo, dejando el resto a los hombres. También repudia la afirmación de que Spurgeon, y aquellos como él, enseñan que Dios arrastra a los hombres a Cristo en contra de su voluntad. Pero como todos los hombres son naturalmente resistentes, ¿cómo los atrae el Padre? Según Spurgeon, Él envía al Espíritu Santo para cambiar los corazones de los hombres para que vengan voluntariamente al Salvador sin ninguna obligación. ¿Cómo se logra esto? Solo Dios sabe, pero si la influencia del Espíritu Santo no se ejerce, ""nunca ha habido y nunca habrá un hombre que pueda venir o que vendrá al Señor Jesucristo"".",0.09,https://www.chapellibrary.org/book/hmcts/,https://www.chapellibrary.org/api/books/download?code=hmcts&format=pdf,,SIM
ciaffgs,Consuelo en la aflicción,Autor Desconhecido,"El tema de este número de Portavoz de la Gracia es “Consuelo en la aflicción”. Este fue el tema de un Portavoz muchos años atrás. Le hemos quitado el polvo, vuelto a editar y a revitalizarlo porque este tema es una realidad siempre presente para los hijos amados de Dios. A. W. Pink comienza con un artículo sobre Job, el hombre que tanto sufrió: “de él aprendemos tres verdades importantes para recordar en la aflicción”. En un segundo artículo, enfoca la dádiva de Dios al darnos su Hijo: “así como nos dio a Cristo, nos dará libremente todas las cosas”. Charles Spurgeon, quien sabía muy bien lo que era sufrir, nos ofrece dos artículos extensos: en el primero, ofrece consuelo a los sufren distintos tipos de aflicciones; en el segundo, encara la pregunta: “Si Dios me ama, ¿por qué estoy sufriendo?”. James Buchanan nos enseña que la Biblia es un gran consuelo cuando sufrimos.  A esto le sigue una colección maravillosa de selecciones del libro The Mute Christian (El cristiano mudo) por Thomas Brooks. Por último, Octavius Winslow nos ayuda a comprender que el Señor Jesucristo es nuestra fuente de consolación.
“¿Está alguno entre vosotros afligido?”. Querido lector, siga el consejo de Santiago: “Haga oración” (Stg. 5:13). Luego dedíquele un tiempo a esta edición de Portavoz de la Gracia, atendiendo los consejos centrados en Cristo de hombres sabios que comprendían el consuelo en la aflicción.",1.78,https://www.chapellibrary.org/book/ciaffgs/,https://www.chapellibrary.org/api/books/download?code=ciaffgs&format=pdf,https://www.chapellibrary.org/api/books/download?code=ciaffgs&format=epub,SIM
convfgs,Conversion,Autor Desconhecido,"La verdadera conversión requiere arrepentimiento, fe y un cambio radical en la vida de uno. ¿Por qué es tan importante la doctrina de la conversión? ¿Crees que eres convertido? Estas y muchas otras preguntas se abordan en esta edición de Free Grace Broadcaster, en la que Chapel Library recopila escritos perspicaces y definitivos sobre el tema de la conversión de los teólogos históricos Charles Spurgeon, William S. Plumer, David Martyn Lloyd-Jones, John Gill. , A. W. Pink, y J. C. Ryle.",1.78,https://www.chapellibrary.org/book/convfgs/,https://www.chapellibrary.org/api/books/download?code=convfgs&format=pdf,https://www.chapellibrary.org/api/books/download?code=convfgs&format=epub,SIM
cials,Cristo es el todo,J. C. Ryle,"Cristo es el Todo
 glorifica a Cristo. Presenta al Salvador resucitado como el Redentor a lo largo de la historia. Muestra cómo Cristo es el todo para el hombre y que sin Él no tenemos nada. Es de muy gran estímulo tanto para el alma que le busca como para el santo experimentado.",0.78,https://www.chapellibrary.org/book/cials/,https://www.chapellibrary.org/api/books/download?code=cials&format=pdf,https://www.chapellibrary.org/api/books/download?code=cials&format=epub,SIM
cdfts,Cristo murió por los impíos,Horatio Bonar,"Bonar explica claramente lo que significa ser ""impío"" y la gracia gratuita de Dios en Cristo presentada a los impíos. Un excelente tramo evangelístico.",0.09,https://www.chapellibrary.org/book/cdfts/,https://www.chapellibrary.org/api/books/download?code=cdfts&format=pdf,,SIM
ctcos,Cristo: el vencedor de Satanás,Carlos Spurgeon,El triunfo de Cristo sobre Satanás por medio de Su cruz y resurrección nos proporciona la base para la victoria y nos da esperanza y ánimo en nuestra batalla diaria.,0.69,https://www.chapellibrary.org/book/ctcos/,https://www.chapellibrary.org/api/books/download?code=ctcos&format=pdf,https://www.chapellibrary.org/api/books/download?code=ctcos&format=epub,SIM
fwors,Adoración familiar,J. Merle D'Aubigne,"Adoración familiar
 es una parte vital del discipulado cristiano en el hogar. Este pequeño folleto describe algo de la historia de esta importante práctica, ayudando a establecer motivos por los cuales debemos adorar como familias y brinda tambien algunas instrucciones sobre cómo debemos poner estas verdades en práctica.",0.61,https://www.chapellibrary.org/book/fwors/,https://www.chapellibrary.org/api/books/download?code=fwors&format=pdf,https://www.chapellibrary.org/api/books/download?code=fwors&format=epub,SIM
fwo2s,Culto familiar,Arthur W. Pink,La necesidad y bendiciones de culto familiar.,0.14,https://www.chapellibrary.org/book/fwo2s/,https://www.chapellibrary.org/api/books/download?code=fwo2s&format=pdf,,SIM
fttts,De la tradición a la verdad,Richard Bennett,"De la tradición a la verdad
 es el testimonio personal de Richard Bennett, sacerdote católico romano, en su peregrinaje de fe a través del testimonio del Espíritu Santo en las Sagradas Escrituras. Describe la fe bíblica y las dificultades subsiguientes, de una manera que resulta en una lectura iluminadora e instrucción vital para todos los que tienen que ver con tradiciones católico romanas.
Richard Bennett, oriundo de Irlanda, vivió veintidós años en la isla de Trinidad, en las Antillas; fueron veintidós años de servicio como sacerdote de una parroquia. Después de un grave accidente que casi le costó la vida en 1972, comenzó a estudiar seriamente la Biblia. Luego de casi catorce años de comparar el catolicismo con la fe bíblica, por la gracia de Dios y la convicción del Espíritu Santo, Bennett creyó en Jesucristo como su único Salvador. “Porque por gracia sois salvos por medio de la fe; y esto no de vosotros, pues es don de Dios;  no por obras, para que nadie se gloríe” (Efesios 2:8-9). Por lo tanto, en 1985, sabiéndose salvo por la gracia de Dios únicamente, dejó los hábitos y la iglesia católica. Valiéndose del internet, ha fundado un ministerio de evangelización, llamado Berean Beacon en www.bereanbeacon.org, dirigido al pueblo católico.
El ministerio pone un énfasis particular en la evangelización y la conversión del católico. El otro énfasis principal del ministerio es informar a los cristianos evangélicos acerca del catolicismo, valiéndose de conferencias con el uso de Skype, la distribución de literatura y DVDs.
Si desea hacerle alguna pregunta a Berean Beacon, o compartir algo con ellos, visite su sitio de internet www.bereanbeacon.org.",0.69,https://www.chapellibrary.org/book/fttts/,https://www.chapellibrary.org/api/books/download?code=fttts&format=pdf,https://www.chapellibrary.org/api/books/download?code=fttts&format=epub,SIM
fduts,Deberes familiares,Juan Bunyan,"Una descripción sencilla y bíblica de las responsabilidades de los esposos, esposas, padres e hijos entre sí.",0.69,https://www.chapellibrary.org/book/fduts/,https://www.chapellibrary.org/api/books/download?code=fduts&format=pdf,https://www.chapellibrary.org/api/books/download?code=fduts&format=epub,SIM
