codigo,titulo,autor,descricao,preco,link_livro,link_pdf,link_epub,tem_versao_imprimivel
erftf,Une requête fervente pour le salut du Seigneur,Joseph Charles Philpot,"Dans ce court traité, J.C. Philpot demande : « Comment un homme apprend-il à désirer une ‘visitation’ du salut de Dieu ? » La réponse ? Il doit se voir comme entièrement perdu et condamné. C’est uniquement lorsque la main de Dieu l’amène à désespérer de lui-même qu’il suppliera le Seigneur de lui accorder une « manifestation du salut de Dieu pour son âme ». C’est cela le salut authentique, et non la décision désinvolte d’ajouter Jésus à nos intérêts personnels, ce qui arrive bien trop souvent de nos jours.",0.05,https://www.chapellibrary.org/book/erftf/,https://www.chapellibrary.org/api/books/download?code=erftf&format=pdf,,NÃO
foosf,Fuir Sodome,Jonathan Edwards,"Dans ce sermon, Jonathan Edwards donne un certain nombre de raisons pour lesquelles la fuite de Lot hors de Sodome est une image de notre fuite vers Christ, hors de notre état de péché et de misère. Il observe que ceux qui fuient ne doivent pas regarder en arrière. Sodome est une ville remplie de souillures et d’abominations qui ne mérite pas un seul regard en arrière. C’est une ville destinée à une destruction rapide et soudaine—une destruction qui sera infiniment épouvantable, universelle et éternelle. Edwards appelle solennellement ceux qui se trouvent dans leur « condition naturelle » à fuir, faisant remarquer que ce monde est divisé en deux cités : la sainte et bien-aimée Sion, et la souillée et maudite cité de Sodome. Il souligne la gravité de son avertissement par cette vérité effrayante : Celui qui est hors de Christ demeure en réalité en Sodome.",0.69,https://www.chapellibrary.org/book/foosf/,https://www.chapellibrary.org/api/books/download?code=foosf&format=pdf,https://www.chapellibrary.org/api/books/download?code=foosf&format=epub,NÃO
gjudf,Le jugement dernier,Charles Spurgeon,"Le Jugement Dernier est une doctrine fondamentale du Christianisme, et une des plus solennelles. Dans ce livret, Charles Spurgeon examine à la lumière des Écritures plusieurs de ses aspects. Pour introduire le sujet, il nous montre que le Jugement Dernier suit directement la résurrection des morts, afin qu’ils soient jugés dans leurs corps. Il continue en indiquant premièrement que personne n’échappera à cet arrêté, car toute personne ayant vécu sur cette terre sera jugée. Deuxièmement, il montre que le juge sera Jésus-Christ, et aucun autre. Troisièmement, que ce jugement sera basé sur les actions faites dans ce corps. Pour finir, il en décrit le dénouement : « le Seigneur accordera à son peuple une généreuse récompense pour tout ce qu’il a accompli, et le châtiment éternel pour l’impie selon ses mauvaises œuvres  ». Spurgeon nous fait remarquer que le juste ne mérite aucune récompense mais que « Dieu lui donne premièrement la grâce d’accomplir toute œuvre bonne ; ses œuvres bonnes sont ensuite acceptées comme preuve d’un cœur renouvelé ; alors enfin Dieu lui donne une récompense pour ce qu’il a accompli ». Il résume tout cela ainsi : « …l’enfer, c’est le péché ; le ciel, la sainteté. » Il termine par un appel passionné : « Oh que nous recevions la grâce, pour chacun d’entre nous, de fuir vers Christ. Il est notre seul refuge ».",0.61,https://www.chapellibrary.org/book/gjudf/,https://www.chapellibrary.org/api/books/download?code=gjudf&format=pdf,https://www.chapellibrary.org/api/books/download?code=gjudf&format=epub,NÃO
ropef,Repentez-vous ou périssez,Arthur W. Pink,"« Si vous ne vous repentez, vous périrez tous de même » (Luc 13.3). Malheureusement, cette vérité biblique est rarement entendue dans nos églises modernes. Mais, comme A.W. Pink le fait remarquer, « la repentance est absolument nécessaire si le pécheur veut être réconcilié avec Dieu. » Il continue en décrivant la repentance comme : « une sainte haine et une sainte horreur du péché, une profonde douleur de l'avoir commis ; elle consiste à reconnaître notre péché devant Dieu et à y renoncer totalement du fond du cœur ». Pink conclut ce court traité par une déclaration effrayante et une question : « Détournez-vous de votre voie de volonté personnelle et d'égocentrisme ; tournez-vous vers Dieu avec un cœur brisé, cherchant sa miséricorde en Christ ; tournez-vous avec un cœur pleinement décidé à LUI plaire et à LE servir ; ou bien vous serez tourmenté jour et nuit, aux siècles des siècles, dans l'étang de feu ». Qu'en sera-t-il pour vous ?",0.05,https://www.chapellibrary.org/book/ropef/,https://www.chapellibrary.org/api/books/download?code=ropef&format=pdf,,SIM
wdevf,L'incrédulité : la grande séductrice,John Bunyan,Un traité sur le salut (gros caractères),0.14,https://www.chapellibrary.org/book/wdevf/,https://www.chapellibrary.org/api/books/download?code=wdevf&format=pdf,,NÃO
jgmif,Jésus - Dieu manifesté en la chair,"Lee Roy Shelton, Jr.","Un traité sur Jésus-Christ, disponible également en espagnol",0.00,https://www.chapellibrary.org/book/jgmif/,https://www.chapellibrary.org/api/books/download?code=jgmif&format=pdf,,NÃO
rotwf,Le maître souverain des flots,J. C. Ryle,"Ce livret commence avec l’histoire de Jésus et ses disciples traversant la mer de Galilée où Jésus fait taire le vent et les flots d’une tempête meurtrière (Marc 4.37-40). Selon J.C. Ryle, cette histoire regorge d’instructions pour chacun d’entre nous. Il explique en cinq chapitres ce que nous devons apprendre : 1) Suivre Christ ne nous évitera pas les douleurs terrestres, 2) Le Seigneur Jésus-Christ est pleinement Homme et pleinement Dieu, 3) Il peut y avoir beaucoup de faiblesse chez un chrétien authentique, 4) Christ est Tout-puissant, et 5) Christ est plein de tendresse envers son peuple. Ryle termine en décrivant l’objectif fixé en écrivant ce livret : « Je désire que les croyants connaissent mieux Jésus afin qu’ils deviennent plus joyeux, plus saints et mieux préparés pour l’héritage des saints dans la lumière ».",0.00,https://www.chapellibrary.org/book/rotwf/,https://www.chapellibrary.org/api/books/download?code=rotwf&format=pdf,https://www.chapellibrary.org/api/books/download?code=rotwf&format=epub,NÃO
wltwf,Lettre de Whitefield à Wesley,George Whitefield,"Georges Whitefield écrivit cette lettre à John Wesley en 1740, répondant à un sermon de Wesley intitulé “Free Grace”. Whitefield croyait ce sujet vital pour un christianisme solide, et il se hâta d’écrire à son ami depuis la colonie américaine de Géorgie de l'autre côté de l'océan.Extrait de la préface :D’emblée, [ma lettre] offensera nombre de mes amis, zélés défenseurs de la « rédemption universelle ». En revanche, bien des défenseurs de la position adverse s’en réjouiront. Les tièdes des deux camps, captifs de leurs raisonnements charnels, diront que nous n’aurions jamais dû aborder cette question. Toutefois, les raisons que je donne au début de ma lettre me semblent suffisantes pour justifier mon choix. Mon désir est que les tenants de l’élection fuient tout triomphalisme, et se gardent bien de former un parti, chose dont j’ai horreur. D’autre part, que ceux qui ont un préjugé contre cette doctrine ne s’alarment pas et ne soient pas offensés outre mesure : Dieu connaît toutes ses voies depuis le commencement du monde.",1.10,https://www.chapellibrary.org/book/wltwf/,https://www.chapellibrary.org/api/books/download?code=wltwf&format=pdf,https://www.chapellibrary.org/api/books/download?code=wltwf&format=epub,NÃO
wosaf,La voie du salut ,Arthur W. Pink,Un traité très apprécié sur le salut,0.05,https://www.chapellibrary.org/book/wosaf/,https://www.chapellibrary.org/api/books/download?code=wosaf&format=pdf,,SIM
ftttf,De la tradition à la vérité,Richard Bennett,"« De la tradition à la vérité » est le témoignage de l’ancien prêtre catholique Richard Bennett et de son cheminement vers la foi par le témoignage du Saint-Esprit au travers des Saintes Écritures. Ses efforts pour parvenir à une définition de la foi biblique et les épreuves qui s’ensuivirent font de ce traité une lecture éclairante ainsi qu’un enseignement vital pour tous ceux qui ont affaire à la tradition des hommes.Richard Bennett est originaire d’Irlande et voyage régulièrement en Amérique du Nord et en Europe pour enseigner et évangéliser. Il vit maintenant dans l'état de Washington. Il est le fondateur de « Berean Beacon Ministry », qui apporte une aide à tous ceux qui recherchent le salut en Christ au travers des Saintes Écritures.Si vous avez des questions ou quelque chose à partager avec Berean Beacon, vous pouvez le faire par son site : https://bereanbeacon.org/fr/Berean Beacon, P.O. Box 73, Walloon Lake, MI 49796 USA.",0.61,https://www.chapellibrary.org/book/ftttf/,https://www.chapellibrary.org/api/books/download?code=ftttf&format=pdf,https://www.chapellibrary.org/api/books/download?code=ftttf&format=epub,SIM
mwfyf,La volonté de l'Homme : elle existe mais elle est liée,Walter J. Chantry,"Dans ce livret, Walter Chantry nous donne le point de vue biblique sur la volonté humaine. Il observe tout d’abord qu’une « juste compréhension de la teneur de l’Évangile et de l’utilisation de moyens qui honorent Dieu dans l’évangélisation est essentielle pour comprendre ce sujet ». Utilisant Matthieu 12.33-37 d’une manière accessible à tous, W. Chantry expose le sujet en quatre chapitres : 1) la volonté de l’homme possède une certaine liberté, 2) la volonté de l’homme n’est pas souveraine, 3) la volonté de l’homme est esclave du péché, et 4) l’espérance de l’homme ne réside pas dans sa volonté. Il termine en indiquant la seule véritable espérance de l’homme. « Certes, l'Évangile s’adresse à la volonté de l’homme, mais elle est prisonnière du linceul et des bandelettes d'un cœur mauvais. Pourtant, alors que nous parlons, et que le Seigneur lui-même confirme sa Parole, sa puissance divine communique la vie aux pécheurs. Ceux en qui Dieu agit à salut sont rendus vivants quand il déploie sa puissance » (Psaume 110:3).",0.43,https://www.chapellibrary.org/book/mwfyf/,https://www.chapellibrary.org/api/books/download?code=mwfyf&format=pdf,https://www.chapellibrary.org/api/books/download?code=mwfyf&format=epub,SIM
lbcof,Confession de foi baptiste de Londres 1689,Autor Desconhecido,Télécharger le fichier PDF,2.47,https://www.chapellibrary.org/book/lbcof/,https://www.chapellibrary.org/api/books/download?code=lbcof&format=pdf,,NÃO
wtpaf,Un mot aux parents,Arthur W. Pink,.,0.00,https://www.chapellibrary.org/book/wtpaf/,https://www.chapellibrary.org/api/books/download?code=wtpaf&format=pdf,,NÃO
ncomf,Aucun compromis,Charles Spurgeon,.,0.00,https://www.chapellibrary.org/book/ncomf/,https://www.chapellibrary.org/api/books/download?code=ncomf&format=pdf,https://www.chapellibrary.org/api/books/download?code=ncomf&format=epub,NÃO
tcomf,Les dix commandements,Arthur W. Pink,.,1.78,https://www.chapellibrary.org/book/tcomf/,https://www.chapellibrary.org/api/books/download?code=tcomf&format=pdf,https://www.chapellibrary.org/api/books/download?code=tcomf&format=epub,NÃO
gpcof,"Prêcher l’Évangile, c'est un ordre",Arthur W. Pink,.,0.00,https://www.chapellibrary.org/book/gpcof/,https://www.chapellibrary.org/api/books/download?code=gpcof&format=pdf,,NÃO
vquef,Une question de vie ou de mort,John F. Thornbury,.,0.00,https://www.chapellibrary.org/book/vquef/,https://www.chapellibrary.org/api/books/download?code=vquef&format=pdf,,NÃO
aogof,Les attributs de Dieu,Arthur W. Pink,"ATTACHE-TOI DONC À DIEU, ET TU AURAS LA PAIX ; tu jouiras ainsi du bonheur (Job 22.21). Ainsi parle l'Éternel : Que le sage ne se glorifie pas de sa sagesse, que le fort ne se glorifie pas de sa force, que le riche ne se glorifie pas de sa richesse. Mais que celui qui veut se glorifier se glorifie d'avoir de l'intelligence et de me connaître, de savoir que je suis l'Éternel (Jérémie 9.23,24). Le besoin premier de toute créature humaine est de connaître Dieu de manière spirituelle et salvatrice.
 
Le point de départ de toute vraie connaissance de Dieu doit être une claire compréhension de ses perfections telles que l'Écriture Sainte les révèle. Comment pourrions-nous faire confiance à un Dieu inconnu, le servir et l'adorer ? Ce livre est l'expression d'un effort pour exposer quelques-unes des principales perfections qui sont en Dieu. Pour tirer un réel profit des pages ci-dessous, que le lecteur supplie Dieu de tout son cœur, en termes précis, de bénir sa lecture et d'appliquer ces vérités à sa conscience et à son coeur pour que sa vie en soit transformée.
 
Il ne suffit pas de posséder un savoir théorique sur Dieu. Dieu ne se fait connaître à notre âme que dans la mesure où nous nous abandonnons à lui en nous soumettant à son autorité, en cherchant à aligner chaque détail de notre existence sur ses saints préceptes et ses saints commandements. Connaissons, cherchons à connaître l'Éternel [en marchant dans le chemin de l'obéissance] (Osée 6.3). Si quelqu'un veut faire sa volonté, il connaîtra... (Jean 7.17). Ceux du peuple qui connaîtront leur Dieu agiront avec fermeté (Daniel 11.32).",5.04,https://www.chapellibrary.org/book/aogof/,https://www.chapellibrary.org/api/books/download?code=aogof&format=pdf,https://www.chapellibrary.org/api/books/download?code=aogof&format=epub,NÃO
sithf,Entre les mains d'un Dieu en colère,Jonathan Edwards,.,0.95,https://www.chapellibrary.org/book/sithf/,https://www.chapellibrary.org/api/books/download?code=sithf&format=pdf,https://www.chapellibrary.org/api/books/download?code=sithf&format=epub,SIM
